"Reference","Value","Footprint","DigiKey Part Number","Qty"
"C1, C7","1u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","732-8851-1-ND","2"
"C2, C8","100n","Capacitor_THT:CP_Radial_Tantal_D4.5mm_P2.50mm","399-4264-ND","2"
"C3","10n","Capacitor_THT:CP_Radial_Tantal_D4.5mm_P2.50mm","K103K10X7RF53L2-ND","1"
"C4","1n","Capacitor_THT:CP_Radial_Tantal_D4.5mm_P2.50mm","445-173171-1-ND","1"
"C5","560n","Capacitor_THT:CP_Radial_Tantal_D4.5mm_P2.50mm","399-13965-ND","1"
"C6","560n","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","399-13965-ND","1"
"J1","USB_C_Receptacle_PowerOnly_6P","Gigahawk:UJC-HP-3-SMT-TR","","1"
"L1","6.2u","Inductor_THT:L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1","445-174580-ND","1"
"Q1","2N7002","Package_TO_SOT_SMD:SOT-23","","1"
"Q2, Q7","2N3904","Package_TO_SOT_THT:TO-92_Inline_Wide","2N3904FS-ND","2"
"Q3, Q5","IRF5210","Package_TO_SOT_THT:TO-220-3_Vertical","IRF5210PBF-ND","2"
"Q4, Q6","IRLB8748","Package_TO_SOT_THT:TO-220-3_Vertical","448-IRLB8748PBF-ND","2"
"Q8","2N7000","Package_TO_SOT_THT:TO-92_Inline_Wide","2N7000BU","1"
"R1, R4","0","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","","2"
"R2, R3","5.1k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","","2"
"R5","7.87k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","7.87KXBK-ND","1"
"R6, R8, R9","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","13-MFR-25FRF52-10KCT-ND","3"
"R7, R10","2.2k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","13-MFR-25FRF52-2K2CT-ND","2"
"U1","TLC555xD","Package_DIP:DIP-8_W7.62mm","296-1857-5-ND","1"
"V1, V2","5","","","2"
